Route_ID,Origin,Destination,Origin_Type,Destination_Type,Distance_km,Transport_Mode,Transit_Time_days,Cost_per_km_per_ton,CO2_per_ton_km,Route_Reliability,Route_Status,Avg_Speed_kmph,Terminal_Dwell_days,Fleet_Tier
R0221,S014,W01,Supplier,Warehouse,1749.9,Truck_Diesel,4,0.05699,0.12981,0.965,AVAILABLE,55,0,Legacy
R0222,S014,W01,Supplier,Warehouse,1600.7,Rail,5,0.04775,0.02374,0.948,AVAILABLE,32,2,Modern
R0223,S014,W01,Supplier,Warehouse,1356.5,Air,2,0.98758,0.71335,0.946,AVAILABLE,620,1,Legacy
R0224,S014,W03,Supplier,Warehouse,2011.6,Truck_Diesel,5,0.05726,0.1285,0.967,AVAILABLE,55,0,Legacy
R0225,S014,W03,Supplier,Warehouse,1840.0,Rail,5,0.04003,0.02104,0.93,AVAILABLE,32,2,Modern
R0226,S014,W03,Supplier,Warehouse,1559.3,Air,2,0.85892,0.7402,0.967,CONGESTED,620,1,Legacy
R0227,S014,W04,Supplier,Warehouse,1528.3,Truck_Diesel,4,0.05698,0.11868,0.892,AVAILABLE,55,0,Legacy
R0228,S014,W04,Supplier,Warehouse,1398.0,Rail,5,0.0421,0.02421,0.967,CLOSED,32,2,Modern
R0229,S014,W04,Supplier,Warehouse,1184.8,Air,2,0.81935,0.78667,0.956,AVAILABLE,620,1,Legacy
R0230,S015,W01,Supplier,Warehouse,754.9,Truck_Diesel,2,0.08494,0.07755,0.922,AVAILABLE,55,0,Modern
R0231,S015,W02,Supplier,Warehouse,400.4,Truck_Diesel,1,0.08995,0.08459,0.933,AVAILABLE,55,0,Modern
R0232,S015,W02,Supplier,Warehouse,400.4,Truck_Electric,2,0.10543,0.04163,0.991,AVAILABLE,48,0,Standard
R0233,S015,W03,Supplier,Warehouse,384.9,Truck_Diesel,1,0.0715,0.11179,0.957,CONGESTED,55,0,Standard
R0234,S015,W03,Supplier,Warehouse,384.9,Truck_Electric,2,0.11502,0.02127,0.982,AVAILABLE,48,0,Modern
R0235,W01,C003,Warehouse,Customer,767.4,Truck_Diesel,2,0.07707,0.10053,0.937,AVAILABLE,55,0,Standard
R0236,W01,C003,Warehouse,Customer,702.0,Rail,4,0.0408,0.02707,0.983,AVAILABLE,32,2,Standard
R0237,W01,C007,Warehouse,Customer,1743.9,Truck_Diesel,4,0.06196,0.13191,0.952,AVAILABLE,55,0,Legacy
R0238,W01,C007,Warehouse,Customer,1595.2,Rail,5,0.0445,0.02306,0.998,CONGESTED,32,2,Modern
R0239,W01,C007,Warehouse,Customer,1351.9,Air,2,0.93423,0.58352,0.973,AVAILABLE,620,1,Standard
R0240,W01,C013,Warehouse,Customer,9.1,Truck_Diesel,1,0.0775,0.10364,0.988,AVAILABLE,55,0,Standard
R0241,W01,C013,Warehouse,Customer,9.1,Truck_Electric,1,0.10751,0.03378,0.962,AVAILABLE,48,0,Standard
R0242,W01,C021,Warehouse,Customer,1750.0,Truck_Diesel,4,0.10689,0.08716,0.96,AVAILABLE,55,0,Modern
R0243,W01,C021,Warehouse,Customer,1600.7,Rail,5,0.03563,0.02252,0.979,CONGESTED,32,2,Modern
R0244,W01,C021,Warehouse,Customer,1356.6,Air,2,0.91115,0.45317,0.973,AVAILABLE,620,1,Modern
R0245,W01,C024,Warehouse,Customer,765.2,Truck_Diesel,2,0.06817,0.13842,0.948,CLOSED,55,0,Legacy
R0246,W01,C024,Warehouse,Customer,699.9,Rail,4,0.03918,0.02305,0.945,AVAILABLE,32,2,Standard
R0247,W01,F01,Warehouse,Factory,4.8,Truck_Diesel,1,0.08399,0.08499,0.971,AVAILABLE,55,0,Modern
R0248,W01,F01,Warehouse,Factory,4.8,Truck_Electric,1,0.08829,0.03429,0.988,AVAILABLE,48,0,Legacy
R0249,W01,F02,Warehouse,Factory,554.2,Truck_Diesel,2,0.07485,0.0956,0.961,AVAILABLE,55,0,Standard
R0250,W01,F02,Warehouse,Factory,507.0,Rail,3,0.03126,0.02776,0.976,AVAILABLE,32,2,Standard
R0251,W01,F03,Warehouse,Factory,372.8,Truck_Diesel,1,0.06979,0.13446,0.967,CONGESTED,55,0,Legacy
R0252,W01,F03,Warehouse,Factory,372.8,Truck_Electric,2,0.09107,0.06169,0.949,AVAILABLE,48,0,Legacy
R0253,W01,F03,Warehouse,Factory,341.0,Rail,3,0.03677,0.02699,0.926,CONGESTED,32,2,Standard
R0254,W01,F04,Warehouse,Factory,660.6,Truck_Diesel,2,0.06039,0.13977,0.952,AVAILABLE,55,0,Legacy
R0255,W01,F04,Warehouse,Factory,604.3,Rail,3,0.0381,0.02267,0.999,AVAILABLE,32,2,Modern
R0256,W02,C001,Warehouse,Customer,226.4,Truck_Diesel,1,0.07165,0.10245,0.948,AVAILABLE,55,0,Standard
R0257,W02,C001,Warehouse,Customer,226.4,Truck_Electric,1,0.07001,0.04762,0.944,AVAILABLE,48,0,Legacy
R0258,W02,C002,Warehouse,Customer,190.1,Truck_Diesel,1,0.10059,0.08939,0.982,AVAILABLE,55,0,Modern
R0259,W02,C002,Warehouse,Customer,190.1,Truck_Electric,1,0.12255,0.02114,0.954,AVAILABLE,48,0,Modern
R0260,W02,C008,Warehouse,Customer,179.8,Truck_Diesel,1,0.07621,0.10685,0.996,AVAILABLE,55,0,Standard
R0261,W02,C008,Warehouse,Customer,179.8,Truck_Electric,1,0.09512,0.03274,0.906,AVAILABLE,48,0,Standard
R0262,W02,C009,Warehouse,Customer,400.2,Truck_Diesel,1,0.05849,0.135,0.929,CONGESTED,55,0,Legacy
R0263,W02,C009,Warehouse,Customer,400.2,Truck_Electric,2,0.09279,0.03574,0.903,CLOSED,48,0,Standard
R0264,W02,C010,Warehouse,Customer,249.4,Truck_Diesel,1,0.06345,0.13695,0.916,AVAILABLE,55,0,Legacy
R0265,W02,C010,Warehouse,Customer,249.4,Truck_Electric,1,0.08283,0.0394,0.939,AVAILABLE,48,0,Legacy
R0266,W02,C014,Warehouse,Customer,4.6,Truck_Diesel,1,0.09464,0.08291,0.969,AVAILABLE,55,0,Modern
R0267,W02,C014,Warehouse,Customer,4.6,Truck_Electric,1,0.0829,0.03997,0.993,AVAILABLE,48,0,Standard
R0268,W02,C016,Warehouse,Customer,297.9,Truck_Diesel,1,0.07055,0.14024,0.956,AVAILABLE,55,0,Legacy
R0269,W02,C016,Warehouse,Customer,297.9,Truck_Electric,1,0.10282,0.04076,0.96,AVAILABLE,48,0,Standard
R0270,W02,C017,Warehouse,Customer,180.9,Truck_Diesel,1,0.08148,0.10921,0.976,CONGESTED,55,0,Standard
R0271,W02,C017,Warehouse,Customer,180.9,Truck_Electric,1,0.07699,0.03357,0.962,AVAILABLE,48,0,Legacy
R0272,W02,C018,Warehouse,Customer,227.5,Truck_Diesel,1,0.05748,0.09743,0.986,AVAILABLE,55,0,Standard
R0273,W02,C018,Warehouse,Customer,227.5,Truck_Electric,1,0.07269,0.05163,0.951,AVAILABLE,48,0,Legacy
R0274,W02,F01,Warehouse,Factory,556.5,Truck_Diesel,2,0.1023,0.08144,0.938,AVAILABLE,55,0,Modern
R0275,W02,F01,Warehouse,Factory,509.1,Rail,3,0.04189,0.02152,0.996,AVAILABLE,32,2,Modern
R0276,W02,F02,Warehouse,Factory,3.0,Truck_Diesel,1,0.08998,0.09233,0.965,AVAILABLE,55,0,Modern
R0277,W02,F02,Warehouse,Factory,3.0,Truck_Electric,1,0.10671,0.02822,0.983,AVAILABLE,48,0,Modern
R0278,W02,F03,Warehouse,Factory,297.0,Truck_Diesel,1,0.07897,0.07614,0.906,AVAILABLE,55,0,Modern
R0279,W02,F03,Warehouse,Factory,297.0,Truck_Electric,1,0.08459,0.03076,0.95,AVAILABLE,48,0,Legacy
R0280,W02,F04,Warehouse,Factory,942.4,Truck_Diesel,3,0.05657,0.12923,0.999,AVAILABLE,55,0,Legacy
R0281,W02,F04,Warehouse,Factory,862.1,Rail,4,0.03583,0.02865,0.977,AVAILABLE,32,2,Standard
R0282,W02,F04,Warehouse,Factory,730.6,Air,2,0.74451,0.61197,0.977,AVAILABLE,620,1,Standard
R0283,W03,C001,Warehouse,Customer,442.5,Truck_Diesel,2,0.06099,0.12406,0.945,AVAILABLE,55,0,Legacy
R0284,W03,C001,Warehouse,Customer,404.8,Rail,3,0.03853,0.02325,0.922,AVAILABLE,32,2,Modern
R0285,W03,C002,Warehouse,Customer,166.8,Truck_Diesel,1,0.07267,0.13495,0.949,AVAILABLE,55,0,Legacy
R0286,W03,C002,Warehouse,Customer,166.8,Truck_Electric,1,0.08431,0.05583,0.959,AVAILABLE,48,0,Legacy
R0287,W03,C008,Warehouse,Customer,476.1,Truck_Diesel,2,0.0813,0.09314,0.908,AVAILABLE,55,0,Standard
R0288,W03,C008,Warehouse,Customer,435.5,Rail,3,0.04692,0.02164,0.901,CLOSED,32,2,Modern
R0289,W03,C009,Warehouse,Customer,383.8,Truck_Diesel,1,0.07344,0.10382,0.943,AVAILABLE,55,0,Standard
R0290,W03,C009,Warehouse,Customer,383.8,Truck_Electric,2,0.08314,0.03131,0.972,AVAILABLE,48,0,Legacy
R0291,W03,C010,Warehouse,Customer,350.0,Truck_Diesel,1,0.08193,0.09791,0.999,AVAILABLE,55,0,Standard
R0292,W03,C010,Warehouse,Customer,350.0,Truck_Electric,2,0.09736,0.02323,0.997,AVAILABLE,48,0,Modern
R0293,W03,C010,Warehouse,Customer,320.2,Rail,3,0.03618,0.0278,0.993,CONGESTED,32,2,Standard
R0294,W03,C013,Warehouse,Customer,372.4,Truck_Diesel,1,0.06977,0.10853,0.966,AVAILABLE,55,0,Standard
R0295,W03,C013,Warehouse,Customer,372.4,Truck_Electric,2,0.07946,0.0401,0.916,AVAILABLE,48,0,Legacy
R0296,W03,C013,Warehouse,Customer,340.6,Rail,3,0.03247,0.03734,0.951,CONGESTED,32,2,Legacy
R0297,W03,C014,Warehouse,Customer,296.0,Truck_Diesel,1,0.05993,0.1235,0.929,AVAILABLE,55,0,Legacy
R0298,W03,C014,Warehouse,Customer,296.0,Truck_Electric,1,0.11932,0.02931,0.911,AVAILABLE,48,0,Modern
R0299,W03,C015,Warehouse,Customer,641.5,Truck_Diesel,2,0.09204,0.08289,0.914,AVAILABLE,55,0,Modern
R0300,W03,C015,Warehouse,Customer,586.8,Rail,3,0.03315,0.03021,0.965,AVAILABLE,32,2,Legacy
R0301,W03,C016,Warehouse,Customer,4.0,Truck_Diesel,1,0.07881,0.10066,0.952,AVAILABLE,55,0,Standard
R0302,W03,C016,Warehouse,Customer,4.0,Truck_Electric,1,0.10926,0.02918,0.942,AVAILABLE,48,0,Standard
R0303,W03,C017,Warehouse,Customer,476.8,Truck_Diesel,2,0.08786,0.0794,0.966,AVAILABLE,55,0,Modern
R0304,W03,C017,Warehouse,Customer,436.1,Rail,3,0.03618,0.03127,0.925,AVAILABLE,32,2,Standard
R0305,W03,C018,Warehouse,Customer,445.3,Truck_Diesel,2,0.07227,0.12148,0.946,AVAILABLE,55,0,Legacy
R0306,W03,C018,Warehouse,Customer,407.3,Rail,3,0.03101,0.03475,0.944,AVAILABLE,32,2,Legacy
R0307,W03,F01,Warehouse,Factory,372.7,Truck_Diesel,1,0.06425,0.13293,0.936,AVAILABLE,55,0,Legacy
R0308,W03,F01,Warehouse,Factory,372.7,Truck_Electric,2,0.06967,0.04417,0.934,AVAILABLE,48,0,Legacy
R0309,W03,F01,Warehouse,Factory,340.9,Rail,3,0.03773,0.0304,0.96,AVAILABLE,32,2,Standard
R0310,W03,F02,Warehouse,Factory,298.6,Truck_Diesel,1,0.10298,0.08484,0.985,AVAILABLE,55,0,Modern
R0311,W03,F02,Warehouse,Factory,298.6,Truck_Electric,1,0.10009,0.03342,0.963,CONGESTED,48,0,Standard
R0312,W03,F03,Warehouse,Factory,2.9,Truck_Diesel,1,0.09743,0.08299,0.949,AVAILABLE,55,0,Modern
R0313,W03,F03,Warehouse,Factory,2.9,Truck_Electric,1,0.08988,0.02898,0.913,AVAILABLE,48,0,Modern
R0314,W03,F04,Warehouse,Factory,645.2,Truck_Diesel,2,0.08332,0.10388,0.936,CONGESTED,55,0,Standard
R0315,W03,F04,Warehouse,Factory,590.2,Rail,3,0.03187,0.03434,0.948,AVAILABLE,32,2,Legacy
R0316,W04,C003,Warehouse,Customer,649.9,Truck_Diesel,2,0.07618,0.08678,0.959,CLOSED,55,0,Modern
R0317,W04,C003,Warehouse,Customer,594.4,Rail,3,0.03521,0.03176,0.988,AVAILABLE,32,2,Standard
R0318,W04,C004,Warehouse,Customer,544.6,Truck_Diesel,2,0.07501,0.10679,0.935,AVAILABLE,55,0,Standard
R0319,W04,C004,Warehouse,Customer,498.2,Rail,3,0.0427,0.02283,0.949,AVAILABLE,32,2,Modern
R0320,W04,C005,Warehouse,Customer,1129.8,Truck_Diesel,3,0.0775,0.10052,0.947,AVAILABLE,55,0,Standard
R0321,W04,C005,Warehouse,Customer,1033.5,Rail,4,0.03401,0.03051,0.937,AVAILABLE,32,2,Standard
R0322,W04,C005,Warehouse,Customer,875.8,Air,2,1.09379,0.47223,0.996,AVAILABLE,620,1,Modern
R0323,W04,C006,Warehouse,Customer,1631.2,Truck_Diesel,4,0.08801,0.07635,0.94,AVAILABLE,55,0,Modern
R0324,W04,C006,Warehouse,Customer,1492.1,Rail,5,0.0342,0.03306,0.906,AVAILABLE,32,2,Standard
R0325,W04,C006,Warehouse,Customer,1264.5,Air,2,0.9933,0.47895,0.907,AVAILABLE,620,1,Modern
R0326,W04,C007,Warehouse,Customer,1523.8,Truck_Diesel,4,0.072,0.10665,0.984,AVAILABLE,55,0,Standard
R0327,W04,C007,Warehouse,Customer,1393.8,Rail,5,0.03521,0.02314,0.952,CONGESTED,32,2,Modern
R0328,W04,C007,Warehouse,Customer,1181.2,Air,2,0.98171,0.46318,0.989,AVAILABLE,620,1,Modern
R0329,W04,C011,Warehouse,Customer,800.8,Truck_Diesel,2,0.05688,0.12714,0.999,AVAILABLE,55,0,Legacy
R0330,W04,C011,Warehouse,Customer,732.5,Rail,4,0.02832,0.034,0.957,AVAILABLE,32,2,Legacy
R0331,W04,C012,Warehouse,Customer,652.4,Truck_Diesel,2,0.089,0.08189,0.915,AVAILABLE,55,0,Modern
R0332,W04,C012,Warehouse,Customer,596.8,Rail,3,0.03182,0.02763,0.932,AVAILABLE,32,2,Standard
R0333,W04,C015,Warehouse,Customer,2.9,Truck_Diesel,1,0.07367,0.13638,0.918,AVAILABLE,55,0,Legacy
R0334,W04,C015,Warehouse,Customer,2.9,Truck_Electric,1,0.11001,0.02765,0.941,AVAILABLE,48,0,Modern
R0335,W04,C019,Warehouse,Customer,543.0,Truck_Diesel,2,0.07094,0.10095,0.939,AVAILABLE,55,0,Standard
R0336,W04,C019,Warehouse,Customer,496.7,Rail,3,0.0407,0.03282,0.926,AVAILABLE,32,2,Standard
R0337,W04,C020,Warehouse,Customer,1632.6,Truck_Diesel,4,0.06993,0.1011,0.925,AVAILABLE,55,0,Standard
R0338,W04,C020,Warehouse,Customer,1493.4,Rail,5,0.03221,0.0297,0.929,AVAILABLE,32,2,Standard
R0339,W04,C020,Warehouse,Customer,1265.6,Air,2,0.73507,0.74159,0.974,AVAILABLE,620,1,Legacy
R0340,W04,C021,Warehouse,Customer,1528.5,Truck_Diesel,4,0.08295,0.10689,0.917,AVAILABLE,55,0,Standard
R0341,W04,C021,Warehouse,Customer,1398.1,Rail,5,0.03991,0.02963,0.958,AVAILABLE,32,2,Standard
R0342,W04,C021,Warehouse,Customer,1184.9,Air,2,1.15816,0.50531,0.999,AVAILABLE,620,1,Modern
R0343,W04,C022,Warehouse,Customer,651.0,Truck_Diesel,2,0.07067,0.11977,0.955,AVAILABLE,55,0,Legacy
R0344,W04,C022,Warehouse,Customer,595.5,Rail,3,0.03643,0.02162,0.946,AVAILABLE,32,2,Modern
R0345,W04,C023,Warehouse,Customer,1132.5,Truck_Diesel,3,0.08576,0.08275,0.967,AVAILABLE,55,0,Modern
R0346,W04,C023,Warehouse,Customer,1035.9,Rail,4,0.03576,0.02448,0.968,AVAILABLE,32,2,Standard
R0347,W04,C023,Warehouse,Customer,877.9,Air,2,1.19999,0.43134,0.917,AVAILABLE,620,1,Modern
R0348,W04,C024,Warehouse,Customer,646.7,Truck_Diesel,2,0.0655,0.12868,0.974,CLOSED,55,0,Legacy
R0349,W04,C024,Warehouse,Customer,591.6,Rail,3,0.03477,0.02416,0.977,AVAILABLE,32,2,Standard
R0350,W04,F01,Warehouse,Factory,663.8,Truck_Diesel,2,0.06929,0.10933,0.979,CLOSED,55,0,Standard
R0351,W04,F01,Warehouse,Factory,607.2,Rail,3,0.04149,0.02331,0.957,AVAILABLE,32,2,Modern
R0352,W04,F02,Warehouse,Factory,938.8,Truck_Diesel,3,0.07901,0.10556,0.961,AVAILABLE,55,0,Standard
R0353,W04,F02,Warehouse,Factory,858.7,Rail,4,0.03931,0.02123,0.955,AVAILABLE,32,2,Modern
R0354,W04,F02,Warehouse,Factory,727.7,Air,2,0.89322,0.42951,0.973,AVAILABLE,620,1,Modern
R0355,W04,F03,Warehouse,Factory,643.8,Truck_Diesel,2,0.06846,0.1273,0.961,AVAILABLE,55,0,Legacy
R0356,W04,F03,Warehouse,Factory,588.9,Rail,3,0.03171,0.03361,0.95,AVAILABLE,32,2,Legacy
R0357,W04,F04,Warehouse,Factory,4.1,Truck_Diesel,1,0.05688,0.13761,0.925,AVAILABLE,55,0,Legacy
R0358,W04,F04,Warehouse,Factory,4.1,Truck_Electric,1,0.12101,0.02705,0.949,CONGESTED,48,0,Modern
R0359,W05,C004,Warehouse,Customer,797.4,Truck_Diesel,2,0.07661,0.11064,0.939,AVAILABLE,55,0,Standard
R0360,W05,C004,Warehouse,Customer,729.4,Rail,4,0.0326,0.02464,0.975,AVAILABLE,32,2,Standard
R0361,W05,C005,Warehouse,Customer,669.3,Truck_Diesel,2,0.06479,0.10967,0.995,AVAILABLE,55,0,Standard
R0362,W05,C005,Warehouse,Customer,612.3,Rail,3,0.026,0.03594,0.925,AVAILABLE,32,2,Legacy
R0363,W05,C006,Warehouse,Customer,1521.7,Truck_Diesel,4,0.09372,0.08821,0.933,AVAILABLE,55,0,Modern
R0364,W05,C006,Warehouse,Customer,1391.9,Rail,5,0.02989,0.03387,0.912,AVAILABLE,32,2,Legacy
R0365,W05,C006,Warehouse,Customer,1179.6,Air,2,0.66551,0.73778,0.999,CONGESTED,620,1,Legacy
R0366,W05,C011,Warehouse,Customer,159.5,Truck_Diesel,1,0.0682,0.1234,0.956,AVAILABLE,55,0,Legacy
R0367,W05,C011,Warehouse,Customer,159.5,Truck_Electric,1,0.12297,0.02373,0.969,AVAILABLE,48,0,Modern
R0368,W05,C012,Warehouse,Customer,5.0,Truck_Diesel,1,0.09934,0.06909,0.938,AVAILABLE,55,0,Modern
R0369,W05,C012,Warehouse,Customer,5.0,Truck_Electric,1,0.07209,0.03622,0.984,AVAILABLE,48,0,Legacy
R0370,W05,C019,Warehouse,Customer,799.2,Truck_Diesel,2,0.07463,0.09775,0.939,AVAILABLE,55,0,Standard
R0371,W05,C019,Warehouse,Customer,731.0,Rail,4,0.03764,0.02483,0.944,CONGESTED,32,2,Standard
R0372,W05,C020,Warehouse,Customer,1522.1,Truck_Diesel,4,0.07904,0.09133,0.954,AVAILABLE,55,0,Modern
R0373,W05,C020,Warehouse,Customer,1392.3,Rail,5,0.02863,0.03227,0.958,AVAILABLE,32,2,Legacy
R0374,W05,C020,Warehouse,Customer,1179.9,Air,2,1.00809,0.43459,0.951,AVAILABLE,620,1,Modern
R0375,W05,C022,Warehouse,Customer,4.7,Truck_Diesel,1,0.07723,0.13275,0.962,AVAILABLE,55,0,Legacy
R0376,W05,C022,Warehouse,Customer,4.7,Truck_Electric,1,0.12002,0.02293,0.98,CONGESTED,48,0,Modern
R0377,W05,C023,Warehouse,Customer,670.0,Truck_Diesel,2,0.07115,0.10604,0.937,AVAILABLE,55,0,Standard
R0378,W05,C023,Warehouse,Customer,612.9,Rail,3,0.02879,0.0365,0.962,AVAILABLE,32,2,Legacy
R0379,W05,F01,Warehouse,Factory,1176.3,Truck_Diesel,3,0.08057,0.10352,0.946,AVAILABLE,55,0,Standard
R0380,W05,F01,Warehouse,Factory,1076.0,Rail,4,0.03189,0.02955,0.902,AVAILABLE,32,2,Standard
R0381,W05,F01,Warehouse,Factory,911.9,Air,2,0.8156,0.76502,0.956,AVAILABLE,620,1,Legacy
R0382,W05,F02,Warehouse,Factory,1158.0,Truck_Diesel,3,0.06988,0.10319,0.961,AVAILABLE,55,0,Standard
R0383,W05,F02,Warehouse,Factory,1059.3,Rail,4,0.03184,0.02878,0.97,AVAILABLE,32,2,Standard
R0384,W05,F02,Warehouse,Factory,897.7,Air,2,0.90022,0.61392,0.981,AVAILABLE,620,1,Standard
R0385,W05,F03,Warehouse,Factory,945.5,Truck_Diesel,3,0.10893,0.08073,0.936,AVAILABLE,55,0,Modern
R0386,W05,F03,Warehouse,Factory,864.9,Rail,4,0.02728,0.03816,0.952,AVAILABLE,32,2,Legacy
R0387,W05,F03,Warehouse,Factory,733.0,Air,2,1.14885,0.44644,0.999,AVAILABLE,620,1,Modern
R0388,W05,F04,Warehouse,Factory,650.1,Truck_Diesel,2,0.06543,0.13208,0.937,AVAILABLE,55,0,Legacy
R0389,W05,F04,Warehouse,Factory,594.7,Rail,3,0.04229,0.02093,0.959,AVAILABLE,32,2,Modern
