Date,Node_ID,Node_Type,Product_ID,Opening_Inventory,Incoming_Quantity,Outgoing_Quantity,Closing_Inventory,Safety_Stock,Inventory_Risk,Days_of_Cover,Cover_vs_Safety
2026-06-26,W02,Warehouse,P013,150,1,4,147,21,LOW,36.75,7.0
2026-06-27,W02,Warehouse,P013,149,14,0,163,21,LOW,999.0,7.762
2026-06-28,W02,Warehouse,P013,163,13,21,155,21,HIGH,7.38,7.381
2026-06-29,W02,Warehouse,P013,168,7,51,124,21,CRITICAL,2.43,5.905
2026-06-30,W02,Warehouse,P013,162,16,16,162,21,HIGH,10.12,7.714
2026-06-01,W02,Warehouse,P014,54,0,0,54,11,LOW,999.0,4.909
2026-06-02,W02,Warehouse,P014,54,0,14,40,11,CRITICAL,2.86,3.636
2026-06-03,W02,Warehouse,P014,50,3,10,43,11,CRITICAL,4.3,3.909
2026-06-04,W02,Warehouse,P014,50,1,9,42,11,CRITICAL,4.67,3.818
2026-06-05,W02,Warehouse,P014,47,3,7,43,11,HIGH,6.14,3.909
2026-06-06,W02,Warehouse,P014,47,2,5,44,11,HIGH,8.8,4.0
2026-06-07,W02,Warehouse,P014,47,2,3,46,11,MEDIUM,15.33,4.182
2026-06-08,W02,Warehouse,P014,48,3,3,48,11,MEDIUM,16.0,4.364
2026-06-09,W02,Warehouse,P014,50,5,9,46,11,HIGH,5.11,4.182
2026-06-10,W02,Warehouse,P014,52,4,10,46,11,CRITICAL,4.6,4.182
2026-06-11,W02,Warehouse,P014,53,2,17,38,11,CRITICAL,2.24,3.455
2026-06-12,W02,Warehouse,P014,51,1,5,47,11,HIGH,9.4,4.273
2026-06-13,W02,Warehouse,P014,50,0,3,47,11,MEDIUM,15.67,4.273
2026-06-14,W02,Warehouse,P014,49,3,3,49,11,MEDIUM,16.33,4.455
2026-06-15,W02,Warehouse,P014,51,5,11,45,11,CRITICAL,4.09,4.091
2026-06-16,W02,Warehouse,P014,53,2,7,48,11,HIGH,6.86,4.364
2026-06-17,W02,Warehouse,P014,53,3,11,45,11,CRITICAL,4.09,4.091
2026-06-18,W02,Warehouse,P014,53,1,5,49,11,HIGH,9.8,4.455
2026-06-19,W02,Warehouse,P014,52,3,0,55,11,LOW,999.0,5.0
2026-06-20,W02,Warehouse,P014,55,5,8,52,11,HIGH,6.5,4.727
2026-06-21,W02,Warehouse,P014,58,1,9,50,11,HIGH,5.56,4.545
2026-06-22,W02,Warehouse,P014,56,4,17,43,11,CRITICAL,2.53,3.909
2026-06-23,W02,Warehouse,P014,56,0,6,50,11,HIGH,8.33,4.545
2026-06-24,W02,Warehouse,P014,54,1,6,49,11,HIGH,8.17,4.455
2026-06-25,W02,Warehouse,P014,53,3,6,50,11,HIGH,8.33,4.545
2026-06-26,W02,Warehouse,P014,54,5,6,53,11,HIGH,8.83,4.818
2026-06-27,W02,Warehouse,P014,57,2,0,59,11,LOW,999.0,5.364
2026-06-28,W02,Warehouse,P014,59,2,9,52,11,HIGH,5.78,4.727
2026-06-29,W02,Warehouse,P014,57,3,13,47,11,CRITICAL,3.62,4.273
2026-06-30,W02,Warehouse,P014,56,3,7,52,11,HIGH,7.43,4.727
2026-06-01,W02,Warehouse,P015,106,5,5,106,23,MEDIUM,21.2,4.609
2026-06-02,W02,Warehouse,P015,106,0,0,106,23,LOW,999.0,4.609
2026-06-03,W02,Warehouse,P015,106,6,5,107,23,MEDIUM,21.4,4.652
2026-06-04,W02,Warehouse,P015,107,7,4,110,23,LOW,27.5,4.783
2026-06-05,W02,Warehouse,P015,110,3,7,106,23,MEDIUM,15.14,4.609
2026-06-06,W02,Warehouse,P015,106,7,0,113,23,LOW,999.0,4.913
2026-06-07,W02,Warehouse,P015,113,6,7,112,23,MEDIUM,16.0,4.87
2026-06-08,W02,Warehouse,P015,112,10,3,119,23,LOW,39.67,5.174
2026-06-09,W02,Warehouse,P015,119,12,7,124,23,MEDIUM,17.71,5.391
2026-06-10,W02,Warehouse,P015,124,6,7,123,23,MEDIUM,17.57,5.348
2026-06-11,W02,Warehouse,P015,123,13,2,134,23,LOW,67.0,5.826
2026-06-12,W02,Warehouse,P015,134,2,5,131,23,LOW,26.2,5.696
2026-06-13,W02,Warehouse,P015,131,1,10,122,23,MEDIUM,12.2,5.304
2026-06-14,W02,Warehouse,P015,122,14,7,129,23,MEDIUM,18.43,5.609
2026-06-15,W02,Warehouse,P015,129,15,0,144,23,LOW,999.0,6.261
2026-06-16,W02,Warehouse,P015,144,11,6,149,23,MEDIUM,24.83,6.478
2026-06-17,W02,Warehouse,P015,149,4,4,149,23,LOW,37.25,6.478
2026-06-18,W02,Warehouse,P015,149,9,8,150,23,MEDIUM,18.75,6.522
2026-06-19,W02,Warehouse,P015,150,2,9,143,23,MEDIUM,15.89,6.217
2026-06-20,W02,Warehouse,P015,143,15,0,158,23,LOW,999.0,6.87
2026-06-21,W02,Warehouse,P015,158,16,9,165,23,MEDIUM,18.33,7.174
2026-06-22,W02,Warehouse,P015,165,6,11,160,23,MEDIUM,14.55,6.957
2026-06-23,W02,Warehouse,P015,160,12,12,160,23,MEDIUM,13.33,6.957
2026-06-24,W02,Warehouse,P015,160,1,0,161,23,LOW,999.0,7.0
2026-06-25,W02,Warehouse,P015,161,12,4,169,23,LOW,42.25,7.348
2026-06-26,W02,Warehouse,P015,169,5,6,168,23,LOW,28.0,7.304
2026-06-27,W02,Warehouse,P015,168,15,2,181,23,LOW,90.5,7.87
2026-06-28,W02,Warehouse,P015,181,21,7,195,23,LOW,27.86,8.478
2026-06-29,W02,Warehouse,P015,195,3,1,197,23,LOW,197.0,8.565
2026-06-30,W02,Warehouse,P015,197,20,2,215,23,LOW,107.5,9.348
2026-06-01,W03,Warehouse,P001,693,36,185,544,152,CRITICAL,2.94,3.579
2026-06-02,W03,Warehouse,P001,683,43,58,668,152,HIGH,11.52,4.395
2026-06-03,W03,Warehouse,P001,709,9,211,507,152,CRITICAL,2.4,3.336
2026-06-04,W03,Warehouse,P001,669,40,12,697,152,LOW,58.08,4.586
2026-06-05,W03,Warehouse,P001,706,15,108,613,152,HIGH,5.68,4.033
2026-06-06,W03,Warehouse,P001,682,14,105,591,152,HIGH,5.63,3.888
2026-06-07,W03,Warehouse,P001,670,10,228,452,152,CRITICAL,1.98,2.974
2026-06-08,W03,Warehouse,P001,627,49,122,554,152,CRITICAL,4.54,3.645
2026-06-09,W03,Warehouse,P001,628,4,79,553,152,HIGH,7.0,3.638
2026-06-10,W03,Warehouse,P001,609,20,96,533,152,HIGH,5.55,3.507
2026-06-11,W03,Warehouse,P001,592,60,46,606,152,MEDIUM,13.17,3.987
2026-06-12,W03,Warehouse,P001,639,60,77,622,152,HIGH,8.08,4.092
2026-06-13,W03,Warehouse,P001,663,67,19,711,152,LOW,37.42,4.678
2026-06-14,W03,Warehouse,P001,725,89,91,723,152,HIGH,7.95,4.757
2026-06-15,W03,Warehouse,P001,783,27,47,763,152,MEDIUM,16.23,5.02
2026-06-16,W03,Warehouse,P001,796,97,136,757,152,HIGH,5.57,4.98
2026-06-17,W03,Warehouse,P001,824,13,131,706,152,HIGH,5.39,4.645
2026-06-18,W03,Warehouse,P001,801,73,148,726,152,CRITICAL,4.91,4.776
2026-06-19,W03,Warehouse,P001,827,19,100,746,152,HIGH,7.46,4.908
2026-06-20,W03,Warehouse,P001,817,37,62,792,152,MEDIUM,12.77,5.211
2026-06-21,W03,Warehouse,P001,831,98,36,893,152,MEDIUM,24.81,5.875
2026-06-22,W03,Warehouse,P001,913,80,245,748,152,CRITICAL,3.05,4.921
2026-06-23,W03,Warehouse,P001,911,89,307,693,152,CRITICAL,2.26,4.559
2026-06-24,W03,Warehouse,P001,928,18,30,916,152,LOW,30.53,6.026
2026-06-25,W03,Warehouse,P001,934,90,248,776,152,CRITICAL,3.13,5.105
2026-06-26,W03,Warehouse,P001,955,88,79,964,152,MEDIUM,12.2,6.342
2026-06-27,W03,Warehouse,P001,1004,65,4,1065,152,LOW,266.25,7.007
2026-06-28,W03,Warehouse,P001,1068,38,140,966,152,HIGH,6.9,6.355
2026-06-29,W03,Warehouse,P001,1050,16,39,1027,152,LOW,26.33,6.757
2026-06-30,W03,Warehouse,P001,1053,5,62,996,152,MEDIUM,16.06,6.553
2026-06-01,W03,Warehouse,P002,328,40,48,320,72,HIGH,6.67,4.444
2026-06-02,W03,Warehouse,P002,346,40,22,364,72,MEDIUM,16.55,5.056
2026-06-03,W03,Warehouse,P002,378,28,89,317,72,CRITICAL,3.56,4.403
2026-06-04,W03,Warehouse,P002,374,16,77,313,72,CRITICAL,4.06,4.347
2026-06-05,W03,Warehouse,P002,366,31,126,271,72,CRITICAL,2.15,3.764
2026-06-06,W03,Warehouse,P002,368,44,68,344,72,HIGH,5.06,4.778
2026-06-07,W03,Warehouse,P002,390,27,138,279,72,CRITICAL,2.02,3.875
2026-06-08,W03,Warehouse,P002,384,32,40,376,72,HIGH,9.4,5.222
2026-06-09,W03,Warehouse,P002,403,31,46,388,72,HIGH,8.43,5.389
2026-06-10,W03,Warehouse,P002,413,11,52,372,72,HIGH,7.15,5.167
2026-06-11,W03,Warehouse,P002,403,31,105,329,72,CRITICAL,3.13,4.569
2026-06-12,W03,Warehouse,P002,398,28,16,410,72,LOW,25.62,5.694
2026-06-13,W03,Warehouse,P002,420,51,98,373,72,CRITICAL,3.81,5.181
2026-06-14,W03,Warehouse,P002,447,15,119,343,72,CRITICAL,2.88,4.764
2026-06-15,W03,Warehouse,P002,429,20,50,399,72,HIGH,7.98,5.542
2026-06-16,W03,Warehouse,P002,434,45,116,363,72,CRITICAL,3.13,5.042
2026-06-17,W03,Warehouse,P002,442,28,46,424,72,HIGH,9.22,5.889
2026-06-18,W03,Warehouse,P002,454,48,24,478,72,MEDIUM,19.92,6.639
2026-06-19,W03,Warehouse,P002,495,45,62,478,72,HIGH,7.71,6.639
2026-06-20,W03,Warehouse,P002,512,54,48,518,72,HIGH,10.79,7.194
2026-06-21,W03,Warehouse,P002,545,56,0,601,72,LOW,999.0,8.347
2026-06-22,W03,Warehouse,P002,601,56,9,648,72,LOW,72.0,9.0
2026-06-23,W03,Warehouse,P002,653,52,43,662,72,MEDIUM,15.4,9.194
2026-06-24,W03,Warehouse,P002,693,82,104,671,72,HIGH,6.45,9.319
2026-06-25,W03,Warehouse,P002,722,9,147,584,72,CRITICAL,3.97,8.111
2026-06-26,W03,Warehouse,P002,667,20,150,537,72,CRITICAL,3.58,7.458
2026-06-27,W03,Warehouse,P002,651,6,26,631,72,MEDIUM,24.27,8.764
2026-06-28,W03,Warehouse,P002,651,19,106,564,72,HIGH,5.32,7.833
2026-06-29,W03,Warehouse,P002,636,42,166,512,72,CRITICAL,3.08,7.111
2026-06-30,W03,Warehouse,P002,625,12,176,461,72,CRITICAL,2.62,6.403
2026-06-01,W03,Warehouse,P003,500,0,14,486,110,LOW,34.71,4.418
2026-06-02,W03,Warehouse,P003,486,10,5,491,110,LOW,98.2,4.464
2026-06-03,W03,Warehouse,P003,491,35,44,482,110,HIGH,10.95,4.382
2026-06-04,W03,Warehouse,P003,482,40,40,482,110,MEDIUM,12.05,4.382
2026-06-05,W03,Warehouse,P003,482,35,2,515,110,LOW,257.5,4.682
2026-06-06,W03,Warehouse,P003,515,22,42,495,110,HIGH,11.79,4.5
2026-06-07,W03,Warehouse,P003,495,2,4,493,110,LOW,123.25,4.482
2026-06-08,W03,Warehouse,P003,493,50,3,540,110,LOW,180.0,4.909
2026-06-09,W03,Warehouse,P003,540,64,40,564,110,MEDIUM,14.1,5.127
2026-06-10,W03,Warehouse,P003,564,46,30,580,110,MEDIUM,19.33,5.273
2026-06-11,W03,Warehouse,P003,580,6,24,562,110,MEDIUM,23.42,5.109
2026-06-12,W03,Warehouse,P003,562,56,50,568,110,HIGH,11.36,5.164
2026-06-13,W03,Warehouse,P003,568,31,47,552,110,HIGH,11.74,5.018
2026-06-14,W03,Warehouse,P003,552,53,3,602,110,LOW,200.67,5.473
2026-06-15,W03,Warehouse,P003,602,46,36,612,110,MEDIUM,17.0,5.564
2026-06-16,W03,Warehouse,P003,612,41,47,606,110,MEDIUM,12.89,5.509
2026-06-17,W03,Warehouse,P003,606,66,33,639,110,MEDIUM,19.36,5.809
2026-06-18,W03,Warehouse,P003,639,25,61,603,110,HIGH,9.89,5.482
2026-06-19,W03,Warehouse,P003,603,72,41,634,110,MEDIUM,15.46,5.764
2026-06-20,W03,Warehouse,P003,634,50,6,678,110,LOW,113.0,6.164
2026-06-21,W03,Warehouse,P003,678,33,13,698,110,LOW,53.69,6.345
2026-06-22,W03,Warehouse,P003,698,44,57,685,110,MEDIUM,12.02,6.227
2026-06-23,W03,Warehouse,P003,685,19,67,637,110,HIGH,9.51,5.791
2026-06-24,W03,Warehouse,P003,637,10,6,641,110,LOW,106.83,5.827
2026-06-25,W03,Warehouse,P003,641,77,6,712,110,LOW,118.67,6.473
2026-06-26,W03,Warehouse,P003,712,65,54,723,110,MEDIUM,13.39,6.573
2026-06-27,W03,Warehouse,P003,723,29,4,748,110,LOW,187.0,6.8
2026-06-28,W03,Warehouse,P003,748,28,5,771,110,LOW,154.2,7.009
2026-06-29,W03,Warehouse,P003,771,64,68,767,110,HIGH,11.28,6.973
2026-06-30,W03,Warehouse,P003,767,94,60,801,110,MEDIUM,13.35,7.282
2026-06-01,W03,Warehouse,P004,677,65,117,625,148,HIGH,5.34,4.223
2026-06-02,W03,Warehouse,P004,683,65,131,617,148,CRITICAL,4.71,4.169
2026-06-03,W03,Warehouse,P004,704,87,47,744,148,MEDIUM,15.83,5.027
2026-06-04,W03,Warehouse,P004,769,39,197,611,148,CRITICAL,3.1,4.128
2026-06-05,W03,Warehouse,P004,740,28,96,672,148,HIGH,7.0,4.541
2026-06-06,W03,Warehouse,P004,746,14,76,684,148,HIGH,9.0,4.622
2026-06-07,W03,Warehouse,P004,740,54,284,510,148,CRITICAL,1.8,3.446
2026-06-08,W03,Warehouse,P004,729,12,184,557,148,CRITICAL,3.03,3.764
2026-06-09,W03,Warehouse,P004,692,65,209,548,148,CRITICAL,2.62,3.703
2026-06-10,W03,Warehouse,P004,696,65,38,723,148,MEDIUM,19.03,4.885
2026-06-11,W03,Warehouse,P004,751,45,252,544,148,CRITICAL,2.16,3.676
2026-06-12,W03,Warehouse,P004,725,81,135,671,148,CRITICAL,4.97,4.534
2026-06-13,W03,Warehouse,P004,762,91,132,721,148,HIGH,5.46,4.872
2026-06-14,W03,Warehouse,P004,803,6,234,575,148,CRITICAL,2.46,3.885
2026-06-15,W03,Warehouse,P004,736,15,69,682,148,HIGH,9.88,4.608
2026-06-16,W03,Warehouse,P004,724,21,159,586,148,CRITICAL,3.69,3.959
2026-06-17,W03,Warehouse,P004,694,2,100,596,148,HIGH,5.96,4.027
2026-06-18,W03,Warehouse,P004,652,70,169,553,148,CRITICAL,3.27,3.736
2026-06-19,W03,Warehouse,P004,671,25,151,545,148,CRITICAL,3.61,3.682
2026-06-20,W03,Warehouse,P004,636,28,111,553,148,CRITICAL,4.98,3.736
2026-06-21,W03,Warehouse,P004,622,39,13,648,148,LOW,49.85,4.378
2026-06-22,W03,Warehouse,P004,657,0,25,632,148,LOW,25.28,4.27
2026-06-23,W03,Warehouse,P004,646,74,263,457,148,CRITICAL,1.74,3.088
2026-06-24,W03,Warehouse,P004,659,33,187,505,148,CRITICAL,2.7,3.412
2026-06-25,W03,Warehouse,P004,630,3,167,466,148,CRITICAL,2.79,3.149
2026-06-26,W03,Warehouse,P004,573,16,4,585,148,LOW,146.25,3.953
2026-06-27,W03,Warehouse,P004,587,55,88,554,148,HIGH,6.3,3.743
2026-06-28,W03,Warehouse,P004,620,22,163,479,148,CRITICAL,2.94,3.236
2026-06-29,W03,Warehouse,P004,595,24,129,490,148,CRITICAL,3.8,3.311
2026-06-30,W03,Warehouse,P004,575,13,10,578,148,LOW,57.8,3.905
2026-06-01,W03,Warehouse,P005,171,6,10,167,37,MEDIUM,16.7,4.514
2026-06-02,W03,Warehouse,P005,167,4,2,169,37,LOW,84.5,4.568
2026-06-03,W03,Warehouse,P005,169,15,7,177,37,LOW,25.29,4.784
2026-06-04,W03,Warehouse,P005,177,9,4,182,37,LOW,45.5,4.919
2026-06-05,W03,Warehouse,P005,182,0,0,182,37,LOW,999.0,4.919
2026-06-06,W03,Warehouse,P005,182,14,1,195,37,LOW,195.0,5.27
2026-06-07,W03,Warehouse,P005,195,5,17,183,37,HIGH,10.76,4.946
2026-06-08,W03,Warehouse,P005,183,7,13,177,37,MEDIUM,13.62,4.784
2026-06-09,W03,Warehouse,P005,177,7,15,169,37,HIGH,11.27,4.568
2026-06-10,W03,Warehouse,P005,169,17,7,179,37,LOW,25.57,4.838
2026-06-11,W03,Warehouse,P005,179,15,7,187,37,LOW,26.71,5.054
2026-06-12,W03,Warehouse,P005,187,21,6,202,37,LOW,33.67,5.459
2026-06-13,W03,Warehouse,P005,202,20,12,210,37,MEDIUM,17.5,5.676
2026-06-14,W03,Warehouse,P005,210,16,7,219,37,LOW,31.29,5.919
2026-06-15,W03,Warehouse,P005,219,22,15,226,37,MEDIUM,15.07,6.108
2026-06-16,W03,Warehouse,P005,226,22,17,231,37,MEDIUM,13.59,6.243
2026-06-17,W03,Warehouse,P005,231,4,20,215,37,HIGH,10.75,5.811
2026-06-18,W03,Warehouse,P005,215,21,5,231,37,LOW,46.2,6.243
2026-06-19,W03,Warehouse,P005,231,27,12,246,37,MEDIUM,20.5,6.649
2026-06-20,W03,Warehouse,P005,246,9,5,250,37,LOW,50.0,6.757
2026-06-21,W03,Warehouse,P005,250,11,0,261,37,LOW,999.0,7.054
2026-06-22,W03,Warehouse,P005,261,22,18,265,37,MEDIUM,14.72,7.162
2026-06-23,W03,Warehouse,P005,265,22,14,273,37,MEDIUM,19.5,7.378
2026-06-24,W03,Warehouse,P005,273,12,19,266,37,MEDIUM,14.0,7.189
2026-06-25,W03,Warehouse,P005,266,28,2,292,37,LOW,146.0,7.892
2026-06-26,W03,Warehouse,P005,292,13,28,277,37,HIGH,9.89,7.486
2026-06-27,W03,Warehouse,P005,277,29,26,280,37,HIGH,10.77,7.568
2026-06-28,W03,Warehouse,P005,280,6,13,273,37,MEDIUM,21.0,7.378
2026-06-29,W03,Warehouse,P005,273,4,23,254,37,HIGH,11.04,6.865
2026-06-30,W03,Warehouse,P005,254,16,6,264,37,LOW,44.0,7.135
2026-06-01,W03,Warehouse,P006,643,7,47,603,141,MEDIUM,12.83,4.277
2026-06-02,W03,Warehouse,P006,603,60,52,611,141,HIGH,11.75,4.333
2026-06-03,W03,Warehouse,P006,611,73,49,635,141,MEDIUM,12.96,4.504
2026-06-04,W03,Warehouse,P006,635,62,51,646,141,MEDIUM,12.67,4.582
2026-06-05,W03,Warehouse,P006,646,79,29,696,141,MEDIUM,24.0,4.936
2026-06-06,W03,Warehouse,P006,696,65,56,705,141,MEDIUM,12.59,5.0
2026-06-07,W03,Warehouse,P006,705,10,48,667,141,MEDIUM,13.9,4.73
2026-06-08,W03,Warehouse,P006,667,28,8,687,141,LOW,85.88,4.872
2026-06-09,W03,Warehouse,P006,687,14,7,694,141,LOW,99.14,4.922
2026-06-10,W03,Warehouse,P006,694,77,53,718,141,MEDIUM,13.55,5.092
2026-06-11,W03,Warehouse,P006,718,9,44,683,141,MEDIUM,15.52,4.844
2026-06-12,W03,Warehouse,P006,683,56,35,704,141,MEDIUM,20.11,4.993
2026-06-13,W03,Warehouse,P006,704,53,63,694,141,HIGH,11.02,4.922
2026-06-14,W03,Warehouse,P006,694,44,45,693,141,MEDIUM,15.4,4.915
2026-06-15,W03,Warehouse,P006,693,49,27,715,141,LOW,26.48,5.071
2026-06-16,W03,Warehouse,P006,715,79,29,765,141,LOW,26.38,5.426
2026-06-17,W03,Warehouse,P006,765,75,45,795,141,MEDIUM,17.67,5.638
2026-06-18,W03,Warehouse,P006,795,67,60,802,141,MEDIUM,13.37,5.688
2026-06-19,W03,Warehouse,P006,802,73,45,830,141,MEDIUM,18.44,5.887
2026-06-20,W03,Warehouse,P006,830,63,42,851,141,MEDIUM,20.26,6.035
2026-06-21,W03,Warehouse,P006,851,35,61,825,141,MEDIUM,13.52,5.851
2026-06-22,W03,Warehouse,P006,825,90,57,858,141,MEDIUM,15.05,6.085
2026-06-23,W03,Warehouse,P006,858,82,70,870,141,MEDIUM,12.43,6.17
2026-06-24,W03,Warehouse,P006,870,39,5,904,141,LOW,180.8,6.411
2026-06-25,W03,Warehouse,P006,904,38,67,875,141,MEDIUM,13.06,6.206
2026-06-26,W03,Warehouse,P006,875,88,44,919,141,MEDIUM,20.89,6.518
2026-06-27,W03,Warehouse,P006,919,88,6,1001,141,LOW,166.83,7.099
2026-06-28,W03,Warehouse,P006,1001,80,67,1014,141,MEDIUM,15.13,7.191
2026-06-29,W03,Warehouse,P006,1014,63,72,1005,141,MEDIUM,13.96,7.128
2026-06-30,W03,Warehouse,P006,1005,61,52,1014,141,MEDIUM,19.5,7.191
2026-06-01,W03,Warehouse,P007,337,25,98,264,74,CRITICAL,2.69,3.568
2026-06-02,W03,Warehouse,P007,336,10,38,308,74,HIGH,8.11,4.162
2026-06-03,W03,Warehouse,P007,337,17,17,337,74,MEDIUM,19.82,4.554
2026-06-04,W03,Warehouse,P007,348,14,25,337,74,MEDIUM,13.48,4.554
2026-06-05,W03,Warehouse,P007,351,13,30,334,74,HIGH,11.13,4.514
2026-06-06,W03,Warehouse,P007,350,21,46,325,74,HIGH,7.07,4.392
2026-06-07,W03,Warehouse,P007,347,13,105,255,74,CRITICAL,2.43,3.446
2026-06-08,W03,Warehouse,P007,332,19,100,251,74,CRITICAL,2.51,3.392
2026-06-09,W03,Warehouse,P007,328,4,22,310,74,MEDIUM,14.09,4.189
2026-06-10,W03,Warehouse,P007,327,18,42,303,74,HIGH,7.21,4.095
2026-06-11,W03,Warehouse,P007,334,20,12,342,74,LOW,28.5,4.622
2026-06-12,W03,Warehouse,P007,349,20,100,269,74,CRITICAL,2.69,3.635
2026-06-13,W03,Warehouse,P007,346,31,22,355,74,MEDIUM,16.14,4.797
2026-06-14,W03,Warehouse,P007,369,15,49,335,74,HIGH,6.84,4.527
2026-06-15,W03,Warehouse,P007,366,23,101,288,74,CRITICAL,2.85,3.892
2026-06-16,W03,Warehouse,P007,361,17,49,329,74,HIGH,6.71,4.446
2026-06-17,W03,Warehouse,P007,354,38,40,352,74,HIGH,8.8,4.757
2026-06-18,W03,Warehouse,P007,382,38,53,367,74,HIGH,6.92,4.959
2026-06-19,W03,Warehouse,P007,408,17,100,325,74,CRITICAL,3.25,4.392
2026-06-20,W03,Warehouse,P007,399,30,81,348,74,CRITICAL,4.3,4.703
2026-06-21,W03,Warehouse,P007,408,11,9,410,74,LOW,45.56,5.541
2026-06-22,W03,Warehouse,P007,416,47,72,391,74,HIGH,5.43,5.284
2026-06-23,W03,Warehouse,P007,428,46,82,392,74,CRITICAL,4.78,5.297
2026-06-24,W03,Warehouse,P007,453,49,71,431,74,HIGH,6.07,5.824
2026-06-25,W03,Warehouse,P007,481,4,38,447,74,HIGH,11.76,6.041
2026-06-26,W03,Warehouse,P007,476,16,37,455,74,MEDIUM,12.3,6.149
2026-06-27,W03,Warehouse,P007,475,55,40,490,74,MEDIUM,12.25,6.622
2026-06-28,W03,Warehouse,P007,515,39,36,518,74,MEDIUM,14.39,7.0
2026-06-29,W03,Warehouse,P007,541,43,108,476,74,CRITICAL,4.41,6.432
2026-06-30,W03,Warehouse,P007,554,10,97,467,74,CRITICAL,4.81,6.311
2026-06-01,W03,Warehouse,P008,602,7,53,556,132,HIGH,10.49,4.212
2026-06-02,W03,Warehouse,P008,556,48,51,553,132,HIGH,10.84,4.189
2026-06-03,W03,Warehouse,P008,553,60,12,601,132,LOW,50.08,4.553
2026-06-04,W03,Warehouse,P008,601,53,6,648,132,LOW,108.0,4.909
2026-06-05,W03,Warehouse,P008,648,77,50,675,132,MEDIUM,13.5,5.114
2026-06-06,W03,Warehouse,P008,675,57,66,666,132,HIGH,10.09,5.045
2026-06-07,W03,Warehouse,P008,666,70,56,680,132,MEDIUM,12.14,5.152
2026-06-08,W03,Warehouse,P008,680,8,1,687,132,LOW,687.0,5.205
2026-06-09,W03,Warehouse,P008,687,81,17,751,132,LOW,44.18,5.689
2026-06-10,W03,Warehouse,P008,751,39,3,787,132,LOW,262.33,5.962
2026-06-11,W03,Warehouse,P008,787,61,64,784,132,MEDIUM,12.25,5.939
2026-06-12,W03,Warehouse,P008,784,82,45,821,132,MEDIUM,18.24,6.22
2026-06-13,W03,Warehouse,P008,821,67,42,846,132,MEDIUM,20.14,6.409
2026-06-14,W03,Warehouse,P008,846,46,46,846,132,MEDIUM,18.39,6.409
2026-06-15,W03,Warehouse,P008,846,98,21,923,132,LOW,43.95,6.992
2026-06-16,W03,Warehouse,P008,923,54,55,922,132,MEDIUM,16.76,6.985
2026-06-17,W03,Warehouse,P008,922,65,2,985,132,LOW,492.5,7.462
2026-06-18,W03,Warehouse,P008,985,35,63,957,132,MEDIUM,15.19,7.25
2026-06-19,W03,Warehouse,P008,957,82,69,970,132,MEDIUM,14.06,7.348
2026-06-20,W03,Warehouse,P008,970,119,65,1024,132,MEDIUM,15.75,7.758
2026-06-21,W03,Warehouse,P008,1024,74,33,1065,132,LOW,32.27,8.068
2026-06-22,W03,Warehouse,P008,1065,49,87,1027,132,HIGH,11.8,7.78
2026-06-23,W03,Warehouse,P008,1027,59,72,1014,132,MEDIUM,14.08,7.682
2026-06-24,W03,Warehouse,P008,1014,15,12,1017,132,LOW,84.75,7.705
2026-06-25,W03,Warehouse,P008,1017,27,19,1025,132,LOW,53.95,7.765
2026-06-26,W03,Warehouse,P008,1025,77,64,1038,132,MEDIUM,16.22,7.864
2026-06-27,W03,Warehouse,P008,1038,71,29,1080,132,LOW,37.24,8.182
2026-06-28,W03,Warehouse,P008,1080,77,12,1145,132,LOW,95.42,8.674
2026-06-29,W03,Warehouse,P008,1145,67,17,1195,132,LOW,70.29,9.053
2026-06-30,W03,Warehouse,P008,1195,11,19,1187,132,LOW,62.47,8.992
2026-06-01,W03,Warehouse,P009,272,3,12,263,59,MEDIUM,21.92,4.458
2026-06-02,W03,Warehouse,P009,263,17,15,265,59,MEDIUM,17.67,4.492
2026-06-03,W03,Warehouse,P009,265,14,4,275,59,LOW,68.75,4.661
2026-06-04,W03,Warehouse,P009,275,0,19,256,59,MEDIUM,13.47,4.339
2026-06-05,W03,Warehouse,P009,256,31,7,280,59,LOW,40.0,4.746
2026-06-06,W03,Warehouse,P009,280,7,8,279,59,LOW,34.88,4.729
2026-06-07,W03,Warehouse,P009,279,7,6,280,59,LOW,46.67,4.746
2026-06-08,W03,Warehouse,P009,280,17,21,276,59,MEDIUM,13.14,4.678
2026-06-09,W03,Warehouse,P009,276,24,25,275,59,HIGH,11.0,4.661
2026-06-10,W03,Warehouse,P009,275,12,13,274,59,MEDIUM,21.08,4.644
2026-06-11,W03,Warehouse,P009,274,12,1,285,59,LOW,285.0,4.831
2026-06-12,W03,Warehouse,P009,285,13,7,291,59,LOW,41.57,4.932
2026-06-13,W03,Warehouse,P009,291,17,4,304,59,LOW,76.0,5.153
2026-06-14,W03,Warehouse,P009,304,28,25,307,59,MEDIUM,12.28,5.203
2026-06-15,W03,Warehouse,P009,307,36,2,341,59,LOW,170.5,5.78
2026-06-16,W03,Warehouse,P009,341,4,32,313,59,HIGH,9.78,5.305
2026-06-17,W03,Warehouse,P009,313,33,18,328,59,MEDIUM,18.22,5.559
2026-06-18,W03,Warehouse,P009,328,13,16,325,59,MEDIUM,20.31,5.508
2026-06-19,W03,Warehouse,P009,325,21,27,319,59,HIGH,11.81,5.407
